Model Year	Mfr Name	Division	Region	Carline	Verify Mfr Cd	Eng Displ	# Cyl	Transmission	City FE (Guide) - Conventional Fuel	Hwy FE (Guide) - Conventional Fuel	Comb FE (Guide) - Conventional Fuel	City Unadj FE - Conventional Fuel	Hwy Unadj FE - Conventional Fuel	Comb Unadj FE - Conventional Fuel	City Unrd Adj FE - Conventional Fuel	Hwy Unrd Adj FE - Conventional Fuel	Comb Unrd Adj FE - Conventional Fuel	Trans	Trans Desc	# Gears	Lockup Torque Converter	Trans Creeper Gear	Drive Sys	Drive Desc	Fuel Usage  - Conventional Fuel	Annual Fuel1 Cost - Conventional Fuel	EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.	Descriptor - Model Type (40 Char or less)	Intake Valves Per Cyl	Exhaust Valves Per Cyl	Carline Class	Carline Class Desc	Class	Car/Truck Category - Cash for Clunkers Bill.	MFR Calculated Gas Guzzler MPG	City CO2 Rounded Adjusted	Hwy CO2 Rounded Adjusted	Comb CO2 Rounded Adjusted (as shown on FE Label)
2021	General Motors	GMC	US	YUKON 4WD	GMX	6.2	8	Auto(A10)	14	19	16	17.8001	28.0002	21.2902	13.9808	18.9595	15.8543	A	Automatic	10	Y	N	4	4-Wheel Drive	GPR	3050	3050	SIDI;	1	1	33	Standard SUV 4WD	SUV			632	468	558
2021	General Motors	GMC	US	YUKON XL 4WD	GMX	5.3	8	Auto(A10)	15	19	17	18.9991	27.9986	22.2119	15.3488	19	17.2192	A	Automatic	10	Y	N	4	4-Wheel Drive	G	2400	2400	SIDI;	1	1	33	Standard SUV 4WD	SUV			578	467	515
2021	General Motors	GMC	US	YUKON XL 4WD	GMX	6.2	8	Auto(A10)	14	19	16	17.8001	28.0002	21.2902	13.9808	18.9595	15.8543	A	Automatic	10	Y	N	4	4-Wheel Drive	GPR	3050	3050	SIDI;	1	1	33	Standard SUV 4WD	SUV			632	468	558
2021	Hyundai	HYUNDAI MOTOR COMPANY	Asia	Palisade AWD	HYX	3.8	6	Auto(S8)	19	24	21	24	34.3	27.7499	19.0736	24.431	21.1618	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	G	1950	1950	SIDI;	2	2	33	Standard SUV 4WD	SUV			473	369	426
2021	Jaguar Land Rover L	Land Rover	Europe	Range Rover	JLX	3	6	Auto(S8)	22	29	25	28	40.7	32.574	21.9668	28.574	24.518	SA	Semi-Automatic	8	Y	N	4	4-Wheel Drive	DU	1800	1800		2	2	33	Standard SUV 4WD	SUV			464	356	415
2021	Jaguar Land Rover L	Land Rover	Europe	Range Rover	JLX	5	8	Auto(S8)	16	21	18	20.3	28.9	23.4387	16.3295	20.8405	18.0917	SA	Semi-Automatic	8	Y	N	4	4-Wheel Drive	GP	2700	2700	SIDI;	2	2	33	Standard SUV 4WD	SUV		23.6	544	426	491
2021	Jaguar Land Rover L	Land Rover	Europe	Range Rover LWB	JLX	5	8	Auto(S8)	16	21	18	20.3	28.9	23.4387	16.3295	20.8405	18.0917	SA	Semi-Automatic	8	Y	N	4	4-Wheel Drive	GP	2700	2700	SIDI;	2	2	33	Standard SUV 4WD	SUV		23.6	544	426	491
2021	Jaguar Land Rover L	Land Rover	Europe	Range Rover LWB SVA	JLX	5	8	Auto(S8)	13	19	15	16.1	25.5	19.3018	13.1325	18.5337	15.1147	SA	Semi-Automatic	8	Y	N	4	4-Wheel Drive	GP	3250	3250	SIDI;	2	2	33	Standard SUV 4WD	SUV		19.4	674	479	587
2021	Jaguar Land Rover L	Land Rover	Europe	Range Rover Sport	JLX	3	6	Auto(S8)	22	28	24	27.9	40.3	32.3839	21.8954	28.3185	24.3843	SA	Semi-Automatic	8	Y	N	4	4-Wheel Drive	DU	1900	1900		2	2	33	Standard SUV 4WD	SUV			458	355	412
2021	Jaguar Land Rover L	Land Rover	Europe	Range Rover Sport	JLX	5	8	Auto(S8)	17	22	19	20.9	30.8	24.4342	16.779	22.114	18.8224	SA	Semi-Automatic	8	Y	N	4	4-Wheel Drive	GP	2550	2550	SIDI;	2	2	33	Standard SUV 4WD	SUV		24.6	529	402	472
2021	Jaguar Land Rover L	Land Rover	Europe	Range Rover Sport SVR	JLX	5	8	Auto(S8)	15	20	16	17.9	27.1	21.1276	14.5136	19.6238	16.4401	SA	Semi-Automatic	8	Y	N	4	4-Wheel Drive	GP	3050	3050	SIDI;	2	2	33	Standard SUV 4WD	SUV		21.3	612	453	540
2021	Jaguar Land Rover L	Land Rover	Europe	Range Rover SVA	JLX	5	8	Auto(S8)	14	19	16	16.9	25.6	19.9511	13.7484	18.6021	15.5774	SA	Semi-Automatic	8	Y	N	4	4-Wheel Drive	GP	3050	3050	SIDI;	2	2	33	Standard SUV 4WD	SUV		20.1	645	477	569
2021	Mercedes-Benz	Mercedes-Benz	Europe	AMG GLE 53 4MATIC+	MBX	3	6	Auto(A9)	18	22	19	22.3	30.3	25.3067	17.821	21.78	19.4086	A	Automatic	9	Y	N	4	4-Wheel Drive	GPR	2550	2550	SIDI; Mild Hybrid;	2	2	33	Standard SUV 4WD	SUV		25.5	499	408	458
2021	Mercedes-Benz	Mercedes-Benz	Europe	AMG GLE 53 4MATIC+ (coupe)	MBX	3	6	Auto(A9)	18	23	20	23.2	31.7	26.3835	18.4859	22.7134	20.1757	A	Automatic	9	Y	N	4	4-Wheel Drive	GPR	2450	2450	SIDI; Mild Hybrid;	2	2	33	Standard SUV 4WD	SUV		26.6	480	391	440
2021	Subaru	Subaru	Asia	ASCENT AWD	FJX	2.4	4	Auto(AV-S8)	21	27	23	26.0728	37.8439	30.3161	20.5822	26.7399	22.9616	SCV	Selectable Continuously Variable (e.g. CVT with paddles)	8	Y	N	A	All Wheel Drive	G	1750	1750	SIDI;	2	2	33	Standard SUV 4WD	SUV		30.3	430	332	386
2021	Subaru	Subaru	Asia	ASCENT LIMITED/TOURING AWD	FJX	2.4	4	Auto(AV-S8)	20	26	22	25	36.1	29.0146	19.8039	25.6084	22.0533	SCV	Selectable Continuously Variable (e.g. CVT with paddles)	8	Y	N	A	All Wheel Drive	G	1850	1850	SIDI;	2	2	33	Standard SUV 4WD	SUV		29	446	347	401
2021	Volkswagen Group of	Volkswagen	Europe	Atlas 4Motion	VGA	3.6	6	Auto(S8)	16	22	18	20	30	23.5294	16.1041	21.5792	18.1798	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	G	2250	2250	SIDI;	2	2	33	Standard SUV 4WD	SUV			547	409	485
2021	Volvo	"Volvo Cars of North America, LLC"	Europe	XC90 AWD	VVX	2	4	Auto(S8)	19	28	22	24.4	39.5	29.4695	19.3663	27.8062	22.4299	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GPR	2200	2200	SIDI;	2	2	33	Standard SUV 4WD	SUV			456	318	394
2021	Volvo	"Volvo Cars of North America, LLC"	Europe	XC90 AWD	VVX	2	4	Auto(S8)	20	28	23	25.9	40	30.7829	20.4572	28.1266	23.3185	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GPR	2100	2100	SIDI;	2	2	33	Standard SUV 4WD	SUV			433	314	380
