Model.Year	Mfr	Division	Car.line	Class	CityMPG	HighwayMPG	CombinedMPG	Displacement	Cylinders	Transmission	Gears	CityCO2	HwyCO2	CombCO2
2019	Hyundai	HYUNDAI MOTOR COMPANY	Sonata HYBRID	"2-Wheel Drive, Front"	39	44	41	2.0	4	Auto(AM6)	6	228	201	217
2019	Hyundai	HYUNDAI MOTOR COMPANY	Sonata HYBRID SE	"2-Wheel Drive, Front"	40	46	42	2.0	4	Auto(AM6)	6	223	194	212
2019	Nissan	INFINITI	Q50	"2-Wheel Drive, Rear"	23	30	25	2.0	4	Auto(S7)	7	390	295	356
2019	Nissan	INFINITI	Q50	"2-Wheel Drive, Rear"	20	29	23	3.0	6	Auto(S7)	7	450	309	387
2019	Nissan	INFINITI	Q50 AWD	All Wheel Drive	22	28	24	2.0	4	Auto(S7)	7	403	319	365
2019	Nissan	INFINITI	Q50 AWD	All Wheel Drive	19	27	22	3.0	6	Auto(S7)	7	471	330	407
2019	Nissan	INFINITI	Q50 AWD RED SPORT	All Wheel Drive	19	26	22	3.0	6	Auto(S7)	7	457	342	405
2019	Nissan	INFINITI	Q50 RED SPORT	"2-Wheel Drive, Rear"	20	26	22	3.0	6	Auto(S7)	7	456	340	404
2019	Nissan	INFINITI	Q70	"2-Wheel Drive, Rear"	18	25	21	3.7	6	Auto(S7)	7	495	357	433
2019	Nissan	INFINITI	Q70	"2-Wheel Drive, Rear"	16	24	19	5.6	8	Auto(S7)	7	554	366	469
2019	Nissan	INFINITI	Q70 AWD	All Wheel Drive	18	24	20	3.7	6	Auto(S7)	7	502	371	443
2019	Nissan	INFINITI	Q70 AWD	All Wheel Drive	16	23	18	5.6	8	Auto(S7)	7	573	390	491
2019	Jaguar Land Rover L	Jaguar	XF	"2-Wheel Drive, Rear"	31	42	35	2.0	4	Auto(S8)	8	327	243	289
2019	Jaguar Land Rover L	Jaguar	XF	"2-Wheel Drive, Rear"	25	34	28	2.0	4	Auto(S8)	8	353	262	312
2019	Jaguar Land Rover L	Jaguar	XF	"2-Wheel Drive, Rear"	20	29	23	3.0	6	Auto(S8)	8	441	300	377
2019	Jaguar Land Rover L	Jaguar	XF AWD	All Wheel Drive	30	40	34	2.0	4	Auto(S8)	8	338	252	299
2019	Jaguar Land Rover L	Jaguar	XF AWD	All Wheel Drive	23	33	27	2.0	4	Auto(S8)	8	382	273	333
2019	Jaguar Land Rover L	Jaguar	XF AWD	All Wheel Drive	20	28	23	3.0	6	Auto(S8)	8	449	318	390
2019	Kia	KIA MOTORS CORPORATION	Forte	"2-Wheel Drive, Front"	30	40	34	2.0	4	Auto(AV)	1	299	227	267
2019	Kia	KIA MOTORS CORPORATION	Forte	"2-Wheel Drive, Front"	27	37	31	2.0	4	Manual(M6)	6	328	243	290
2019	Kia	KIA MOTORS CORPORATION	Forte FE	"2-Wheel Drive, Front"	31	41	35	2.0	4	Auto(AV)	1	289	216	256
2019	Kia	KIA MOTORS CORPORATION	Optima Hybrid	"2-Wheel Drive, Front"	39	45	41	2.0	4	Auto(AM6)	6	231	196	215
2019	Kia	KIA MOTORS CORPORATION	Stinger AWD	All Wheel Drive	21	29	24	2.0	4	Auto(S8)	8	418	307	368
2019	Kia	KIA MOTORS CORPORATION	Stinger AWD	All Wheel Drive	17	25	20	3.3	6	Auto(S8)	8	515	360	445
2019	Kia	KIA MOTORS CORPORATION	Stinger RWD	"2-Wheel Drive, Rear"	22	29	25	2.0	4	Auto(S8)	8	412	307	365
2019	Kia	KIA MOTORS CORPORATION	Stinger RWD	"2-Wheel Drive, Rear"	17	25	20	3.3	6	Auto(S8)	8	512	366	446
2019	Toyota	LEXUS	ES 300h	"2-Wheel Drive, Front"	43	45	44	2.5	4	Auto(AV-S6)	6	204	197	201
2019	Toyota	LEXUS	ES 350	"2-Wheel Drive, Front"	22	33	26	3.5	6	Auto(S8)	8	401	272	343
2019	Toyota	LEXUS	ES 350 F SPORT	"2-Wheel Drive, Front"	22	31	25	3.5	6	Auto(S8)	8	409	283	352
2019	Toyota	LEXUS	GS 300	"2-Wheel Drive, Rear"	22	32	26	2.0	4	Auto(S8)	8	403	278	347
2019	Toyota	LEXUS	GS 300 F SPORT	"2-Wheel Drive, Rear"	21	30	24	2.0	4	Auto(S8)	8	426	298	368
2019	Toyota	LEXUS	GS 350	"2-Wheel Drive, Rear"	20	28	23	3.5	6	Auto(S8)	8	447	316	388
2019	Toyota	LEXUS	GS 350 AWD	All Wheel Drive	19	26	21	3.5	6	Auto(S6)	6	465	346	412
2019	Toyota	LEXUS	GS 350 F SPORT	"2-Wheel Drive, Rear"	19	27	22	3.5	6	Auto(S8)	8	470	326	405
2019	Toyota	LEXUS	LS 500	"2-Wheel Drive, Rear"	19	30	23	3.4	6	Auto(S10)	10	464	296	388
2019	Toyota	LEXUS	LS 500 AWD	All Wheel Drive	18	27	21	3.4	6	Auto(S10)	10	499	327	421
2019	Toyota	LEXUS	LS 500h	"2-Wheel Drive, Rear"	25	33	28	3.5	6	Auto(AV-S10)	10	356	269	317
