state	county	trump16_pct	clinton16_pct	otherpres16_pct	romney12_pct	obama12_pct	otherpres12_pct	senaterace16	houserace16	govrace16	total_population	cvap	voterturnout16_pct	voterturnout12_pct	voterturnout_pct_diff	white_pct	nonwhite_pct	black_pct	hispanic_pct	foreignborn_pct	female_pct	age29andunder_pct	age65andolder_pct	median_hh_inc	clf_unemploy_pct	lesshs_pct	lesscollege_pct	rural_pct
Virginia	Poquoson	0.7094886443	0.2230737077	0.067437648	0.7475372924	0.2362792007	0.0161835069	No Race	Race	No Race	12068	9250	0.7758918919	0.7682162162	0.0076756757	92.393105734	7.6068942658	1.0689426583	2.3533311236	2.9748094133	51.010938018	35.109380179	17.90686112	84643	3.2207136091	5.2042858825	60.214294125	6.5020576132
Virginia	Portsmouth	0.295735583	0.6586617358	0.0456026812	0.2799965158	0.7077435652	0.012259919	No Race	No Race	No Race	96071	72180	0.5994042671	0.636215018	-0.036810751	38.943073352	61.056926648	52.221794298	3.8804634073	2.7021681881	51.800231079	42.343683318	13.798128467	47050	10.862913751	15.104059994	78.928048146	0
Virginia	Radford	0.4335250616	0.4806902219	0.0857847165	0.4667531024	0.5060196333	0.0272272643	No Race	No Race	No Race	17186	15020	0.405126498	0.3594540613	0.0456724368	83.021063656	16.978936344	9.9150471314	2.9558943326	3.6657744676	50.285115792	62.836029326	7.9948795531	31457	9.2076815465	10.399679187	65.913647908	2.9314968308
Virginia	Richmond	0.1505643384	0.7852324997	0.0642031618	0.205495598	0.7781262491	0.0163781529	No Race	No Race	No Race	216773	168395	0.6145313103	0.5794055643	0.035125746	39.831067522	60.168932478	48.359804957	6.3333533235	6.4952738579	52.514381404	43.923828152	11.535108155	41187	9.0892910116	15.996806507	63.308949969	0
Virginia	Roanoke	0.3747276136	0.5646885927	0.0605837936	0.3733283526	0.6010210435	0.0256506039	No Race	No Race	No Race	99329	72730	0.5426371511	0.5521105459	-0.009473395	60.069063416	39.930936584	28.102568233	5.9680455859	7.3493138962	52.15495978	38.342276676	14.937228805	39201	7.3845729593	14.788142931	77.095479998	0.0061835271
Virginia	Salem	0.5910838446	0.3437218814	0.065194274	0.5925474915	0.3864263679	0.0210261406	No Race	Race	No Race	25290	19975	0.6120150188	0.6166708385	-0.00465582	85.721629102	14.278370898	7.441676552	3.3491498616	3.1791221827	52.930011862	38.991696323	17.80150257	52351	5.0338149401	10.515463918	73.101620029	0
Virginia	Staunton	0.4560639716	0.4738338516	0.0701021768	0.47029438	0.5109723461	0.0187332739	No Race	No Race	No Race	24234	19360	0.5813533058	0.5790289256	0.0023243802	81.728150532	18.271849468	11.058842948	2.7028142279	3.0700668482	54.869192044	35.016918379	20.68581332	42948	5.0062473969	11.840738604	66.330063474	3.6932536006
Virginia	Suffolk	0.4164199815	0.5383903793	0.0451896392	0.4186439882	0.570102899	0.0112531128	No Race	No Race	No Race	87061	64145	0.6740977473	0.6635903032	0.0105074441	50.043073247	49.956926753	41.368695512	3.7502440817	3.7203799635	51.592561537	39.613604254	12.974810765	65435	7.276632104	11.963259034	73.409416599	21.632677189
Virginia	Virginia Beach	0.483238382	0.4478554772	0.0689061408	0.5049353899	0.4795490259	0.0155155842	No Race	No Race	No Race	449733	332915	0.6105522431	0.5906642837	0.0198879594	62.86863539	37.13136461	18.551006931	7.6463145911	9.0569293336	50.854618185	41.721866085	12.286623397	67719	5.7599076401	6.7906769754	65.75767841	1.5344959063
Virginia	Waynesboro	0.5216210343	0.4089526293	0.0694263364	0.5448754408	0.4368103742	0.018314185	No Race	No Race	No Race	21366	15765	0.5838249286	0.5576276562	0.0261972724	77.412711785	22.587288215	11.948890761	7.2404755219	5.0547598989	52.237199289	37.751567912	17.738462979	45097	5.1324183259	13.729368435	77.370072296	2.5278491859
